epoch  1, iter    1: loss: 8613.8086 (8613.8086) | load time: 0.5416 | back time: 2.9794 | lr: 0.00000011 | best AP50 acc: 0.0000 | best AP70 acc: 0.0000 | best mAP acc: 0.0000 | best Score: 0.0000 | best Score epoch: -1 
epoch  1, iter   51: loss: 6717.5508 (7906.7335) | load time: 0.0056 | back time: 2.2963 | lr: 0.00000054 | best AP50 acc: 0.0000 | best AP70 acc: 0.0000 | best mAP acc: 0.0000 | best Score: 0.0000 | best Score epoch: -1 
epoch  1, iter  101: loss: 2428.2019 (6333.9926) | load time: 0.0071 | back time: 2.1950 | lr: 0.00000097 | best AP50 acc: 0.0000 | best AP70 acc: 0.0000 | best mAP acc: 0.0000 | best Score: 0.0000 | best Score epoch: -1 
epoch  1, iter  151: loss: 591.1487 (4679.9538) | load time: 0.0071 | back time: 2.1664 | lr: 0.00000141 | best AP50 acc: 0.0000 | best AP70 acc: 0.0000 | best mAP acc: 0.0000 | best Score: 0.0000 | best Score epoch: -1 
epoch  1, iter  201: loss: 175.7974 (3609.0212) | load time: 0.0761 | back time: 2.1736 | lr: 0.00000184 | best AP50 acc: 0.0000 | best AP70 acc: 0.0000 | best mAP acc: 0.0000 | best Score: 0.0000 | best Score epoch: -1 
epoch  1, iter  251: loss: 89.7902 (2915.3019) | load time: 0.0050 | back time: 2.1585 | lr: 0.00000227 | best AP50 acc: 0.0000 | best AP70 acc: 0.0000 | best mAP acc: 0.0000 | best Score: 0.0000 | best Score epoch: -1 
epoch  1, iter  301: loss: 59.4702 (2443.5042) | load time: 0.0052 | back time: 2.2008 | lr: 0.00000271 | best AP50 acc: 0.0000 | best AP70 acc: 0.0000 | best mAP acc: 0.0000 | best Score: 0.0000 | best Score epoch: -1 
epoch  1, iter  351: loss: 47.3099 (2103.0981) | load time: 0.0065 | back time: 2.2354 | lr: 0.00000314 | best AP50 acc: 0.0000 | best AP70 acc: 0.0000 | best mAP acc: 0.0000 | best Score: 0.0000 | best Score epoch: -1 
epoch  1, iter  401: loss: 40.6671 (1846.3923) | load time: 0.0069 | back time: 2.1932 | lr: 0.00000357 | best AP50 acc: 0.0000 | best AP70 acc: 0.0000 | best mAP acc: 0.0000 | best Score: 0.0000 | best Score epoch: -1 
epoch  1, iter  451: loss: 38.5723 (1646.0472) | load time: 0.0092 | back time: 2.2032 | lr: 0.00000401 | best AP50 acc: 0.0000 | best AP70 acc: 0.0000 | best mAP acc: 0.0000 | best Score: 0.0000 | best Score epoch: -1 
epoch  1, iter  501: loss: 35.3989 (1485.4160) | load time: 0.0057 | back time: 2.2072 | lr: 0.00000444 | best AP50 acc: 0.0000 | best AP70 acc: 0.0000 | best mAP acc: 0.0000 | best Score: 0.0000 | best Score epoch: -1 
epoch  1, iter  551: loss: 34.8211 (1353.7916) | load time: 0.4195 | back time: 2.1552 | lr: 0.00000487 | best AP50 acc: 0.0000 | best AP70 acc: 0.0000 | best mAP acc: 0.0000 | best Score: 0.0000 | best Score epoch: -1 
epoch  1, iter  601: loss: 31.7614 (1243.8793) | load time: 0.0056 | back time: 2.2015 | lr: 0.00000531 | best AP50 acc: 0.0000 | best AP70 acc: 0.0000 | best mAP acc: 0.0000 | best Score: 0.0000 | best Score epoch: -1 
epoch  1, iter  651: loss: 29.8966 (1150.7448) | load time: 0.0101 | back time: 2.1797 | lr: 0.00000574 | best AP50 acc: 0.0000 | best AP70 acc: 0.0000 | best mAP acc: 0.0000 | best Score: 0.0000 | best Score epoch: -1 
epoch  1, iter  701: loss: 28.7784 (1070.7696) | load time: 0.0042 | back time: 2.1842 | lr: 0.00000617 | best AP50 acc: 0.0000 | best AP70 acc: 0.0000 | best mAP acc: 0.0000 | best Score: 0.0000 | best Score epoch: -1 
epoch  1, iter  751: loss: 28.3433 (1001.3311) | load time: 0.0082 | back time: 2.1489 | lr: 0.00000661 | best AP50 acc: 0.0000 | best AP70 acc: 0.0000 | best mAP acc: 0.0000 | best Score: 0.0000 | best Score epoch: -1 
